Dim1,Dim2
527.9617427755222,146.70205420543522
562.0008495911601,94.54464202768654
508.7055742122754,105.43878607587382
497.8762776143692,89.1794016506254
477.1210878366355,167.56789250470084
445.9429891110849,213.75765703603693
410.7910389555962,216.46859779410488
412.909977342666,242.49710256193174
404.16354124405706,265.1955419240591
397.35012674008044,301.1052640064089
389.1736605011986,332.5307048582541
382.4185045541098,363.886794844881
358.67601262115437,357.1087487311045
357.0691383425875,301.71064261917854
328.75640499372076,281.9146941587407
362.568286212025,245.99518527720096
351.1302841632178,211.57524565784905
377.12469613517226,177.251246795688
390.24119016370696,143.67638541635762
400.9089158302354,118.40060110016807
424.6249496011829,20.965808559175162
423.8994130122721,301.80801808261634
457.4864512563389,295.92324010108587
463.05377870720093,242.8537933510126
463.2831028922153,176.13566766342342
439.2140096668067,202.14691304643955
402.9719039541794,244.52540632375178
385.1670161825763,344.88866922989627
393.35260321470344,207.52873915114998
443.9908459022874,248.32977197483672
62.185516154389866,909.0972212642484
85.02584808087022,862.0175109963931
47.794565662499416,813.1286748917468
30.799644529172866,850.5694334084097
53.63465416245951,799.5547950168113
10.948052805587809,858.7821410452585
29.419839896455976,848.0168497687778
68.05649339817926,798.0890158949603
574.5425163963132,43.13802499505136
601.5926730190674,6.540474228565538
621.652095615672,0.9246510600323976
614.8271999763646,-13.226020491565691
641.8140970280157,-27.488797651135762
597.6896181261388,-26.45261498308356
612.9839994002332,-42.39594363386043
573.5852844780802,9.795372325441935
631.7687940303906,0.8020475061115176
664.3763163498492,-89.77237198296332
677.8068833088641,-107.71970108835927
667.3220370116336,-139.98107924429456
721.2407844763388,-232.16608561211808
725.2694252149794,-316.73982637064813
740.9074581862693,-358.18567532482655
712.6315823034889,-168.38751371115495
638.9279946720701,-121.38323689324248
657.3458613122328,-94.34016009535637
745.3134708430176,-376.1098859772415
890.7354714822964,-391.50845391043316
948.6743979135796,-472.4817779683903
1093.014006239079,-841.2897430399399
1104.7887741987654,-899.9596243630414
1103.6708632029195,-886.5656915026732
1065.1193563487684,-935.7684993698945
1057.778589816981,-985.6748266642708
954.2008735317743,-978.6901271529629
921.7789063699062,-869.9804545975582
896.8129123226041,-808.9895307583615
897.0034298217897,-733.326619980619
881.9461567426721,-671.9146986622036
852.5347769618418,-596.7163477071074
819.2152349298827,-538.6838697250622
1147.4839473451311,-733.6392891384216
806.7384411882799,-494.79664459127787
891.9617291751316,-424.64184317392267
871.9258135605974,-375.11833928308033
865.2483011248671,-623.9203480583792
830.6134996162235,-568.4287963943382
1078.0588839995407,-609.9514655940378
1092.6162130827393,-962.7637304198406
1112.6002276537429,-803.936303044842
-638.8659685306305,232.82679140612916
-587.233066001406,225.87855422781277
-528.101631424233,222.68070349985874
-534.7267182798205,293.17157052646223
-477.55232709152756,162.73397487623333
-272.852675603018,215.38595455565866
-397.6277373661469,-2.2790835889628944
-446.66164003217256,-106.57196421211376
-429.67807467337667,118.59022024249262
-335.2333482359841,60.89342544319831
-355.0209096100261,267.21846566043786
-442.95099161459706,281.2093961115707
-488.27065941795337,289.2178739089904
-595.4074606228345,285.49842975891204
-135.26102031345118,131.19480838815946
-149.00246605304974,11.906229870318692
-122.1727164950159,-165.912184982961
-92.40609536540208,-227.05374627713886
-175.20305988176793,-284.26708835674003
-149.20951265586243,195.43286569132584
-225.67561339254226,138.66408825835524
-146.76727200512983,76.30267443953159
-174.04891024677912,-38.22458278461023
-34.3863296709238,-93.28946581990063
-226.1183054497023,-113.21687811757981
-65.69005870401851,-245.77819086500185
-301.1310250264779,-228.95884922434405
-113.9723246890641,-100.3265545858729
116.35992679897328,-150.49557556859926
73.83966784214158,-303.49651491459514
71.28079191801714,-188.39331982790426
30.05941599324252,-149.06340084266117
28.72255003356889,-199.60059015977623
14.320325909657473,-223.67803343955543
12.551557718711194,-259.26817467949974
-17.900600729842047,-229.16948838294772
-65.08574274586276,-287.2979058979029
105.84360192096018,-243.05595742190167
-11.679680343615686,-284.7368627401793
53.55711620602547,-136.60016192383605
77.4386335307595,-154.65980261758776
-55.331562926623164,-354.28545921490036
-192.61667226514635,-373.632511763295
-228.64760887790632,-466.8537524436681
-294.33941449524275,-565.4341861551052
-386.7744766647101,-620.1580713241893
-95.91692726092754,-428.7334520814871
-356.98057300810103,-318.6571699134098
-85.38329536642074,-456.6786918243429
-141.77746451912444,-514.3972741431472
-192.38560270348526,-565.9689729456265
-506.03150038080634,-473.8209115802074
-489.2723887429742,-623.1337135123624
-560.9825979590224,-666.5184099429508
-626.3583907346044,-630.1206571240798
-524.3082769522399,-704.2775584379937
-0.8804135098826703,-1276.8344170424016
-24.849753441011526,-1382.7731013776245
-234.5700482530397,-1541.8116210066723
-254.8357317241434,-1696.8083751621064
-20.519557541106266,-1341.5212794604338
-49.16324668163447,-1410.0961665276654
-29.041122900392047,-1220.0748556384392
-135.85615523250078,-1488.4198059904036
-4.900899578122328,-1359.6169855157025
22.31856389405634,-1255.644645140253
16.79471313167146,-1326.40359682086
-52.923997765889254,-1392.5069252825563
-36.36436860154085,-1423.6175152400974
-33.5915216243971,-1381.3392879854073
7.65160790947283,-1306.3993694896274
179.2614176707557,-1103.614980489618
120.97762373536818,-1058.7606783521037
268.38424918991313,-924.437609834206
109.25185575953604,-818.3636435279184
-50.4464668229759,-795.9862080274294
-152.99489790847366,-938.5662161050425
-132.95954419631357,-1008.8397192772221
-69.3321637016218,-875.9843238536679
91.22536662950203,-950.2032048716396
59.70610081460271,-771.3637770653642
237.71215605514942,-1128.244776643326
156.61995325268785,-903.290837140038
-2.6249364630293033,-787.178818497118
623.5175312382701,-649.545041350637
487.8476281740521,-643.8069013428217
484.0191004934422,-615.7767530977934
481.1360865055661,-582.7421816835257
457.0357319021259,-564.7928926045242
455.10766359481266,-594.8528008615277
460.8603233631242,-642.052329856353
423.3002451296151,-607.4349379716042
407.50502520221687,-584.21010258656
364.05705905405927,-625.8782883191171
407.18564474386733,-661.3732032412539
361.0272761986229,-650.4384319963922
337.24578362556764,-692.3094994494187
308.83941747549744,-679.2396762455886
275.3028082419522,-647.6947205619371
273.461448189934,-680.6066078891786
253.74311069798853,-724.7106793727365
226.23646520761318,-679.2051156714006
169.47262721873963,-753.3781030258729
223.45834327953418,-849.2622408172923
209.3877787279421,-703.9959373472342
426.93416386410473,-574.8983961543925
319.96253081733045,-638.4199638902255
229.74872879251376,-729.5055063681559
578.0450044795841,-905.4505330364548
524.3284435463695,-909.3922754747502
367.04136755772777,-902.0601567715817
396.93564005081316,-830.9408348039242
451.10132603470544,-916.2732082771138
484.498663116285,-836.1891231145787
641.1238655707695,-1007.3056133084792
296.53394238993786,-824.1962437479528
519.891148308868,-960.9019235387251
343.46092838485635,-906.35400492862
372.26087096934725,-850.5681505559356
428.21107185597305,-938.1157684108233
582.2320976502642,-896.9949538829974
-62.542209869541374,-1096.0747476111019
-51.454591397030285,-1137.6357087582796
-89.84436256449901,-1033.1302126135608
-12.114163370112166,-1192.1014820432645
-73.1893412919926,-1139.8885694237563
-21.97231234748288,-1167.9417254107393
201.83558255078808,-594.3067980495649
225.48244196451523,-612.2143698592283
194.19715996151302,-643.6184489879013
151.26611343979178,-661.0377883569247
49.82425798154108,-720.0788143923886
104.43429494692118,-701.2632290733549
1151.7595296934828,-1706.14298207502
1015.4539137714454,-1941.5285964696247
607.3213955492325,-1672.6713685460102
519.8967550656687,-1400.51914795486
1140.2432536367032,-2077.054588129072
566.7161648685375,-1577.0167634221693
682.9714145888041,-1780.7498611432632
1014.2247479710613,-1279.647555397648
543.244145851556,-1374.4378849288369
616.8009745123056,-1536.901307067397
986.7397771414619,-1900.648538109208
73.35290239628081,-1672.0064044212047
200.07602700436635,-1707.059672838524
346.21802681235204,-1361.3281432208444
302.16627111106584,-1599.4885088462534
64.75727012898132,-1703.9781122570794
136.67198926105547,-1734.0124224651713
10.022690749275084,-1797.9317098840058
288.0589858099542,-1252.652754173542
110.5346289772779,-1608.4054988378143
167.03029257029846,-1646.946701116287
746.283032183439,-2050.2559068238083
850.3825595408246,-2141.9419094310706
787.7582655731765,-2208.682207023323
654.985713619571,-2133.110815283917
589.2584683323474,-2225.2968308855743
577.7360734257358,-2024.8281438764755
492.43525255632267,-1987.7720848276122
427.2447049488728,-1894.3631631691253
510.1387372990213,-2122.6665929309884
548.9472168590314,-2063.030155628127
648.0452235675978,-2215.614558379106
592.3603231666771,-2209.5083086140917
457.14912118393676,-1974.201991230693
1531.4884220629372,-2542.9241984941523
1083.0232375765152,-2628.9404032336265
1014.6240107535547,-2787.231424393995
903.7905818919608,-2307.285495035221
765.5284085593295,-2433.383928181419
670.7499588702166,-2431.089203843435
991.8280707414273,-2380.533497824795
999.2240869573644,-2539.3918940043477
1048.5857356053089,-2382.440700436738
1374.2367436765762,-2687.5362616869156
1386.599641212286,-2566.2338122897404
1234.3351037363116,-2529.2666409344447
1180.3823190924033,-2676.816181355755
1227.92741172064,-2768.4120851088023
1050.4679530383576,-2586.331019296545
950.1751107268111,-2697.834414379006
1135.2142305761038,-2824.8608523994735
889.4744405101541,-2450.0109176591727
623.6455403157386,-2415.2544507737866
936.0993746483613,-2580.838600817784
1093.7460998309084,-2549.6463408529407
1089.8778961448716,-2553.6842314108003
1088.7848506782477,-2645.048658223047
1099.0027767365025,-2692.6143903583506
1007.325753383733,-2482.978881630725
968.0814055718131,-2291.539451454417
975.9331917109405,-2417.174944375149
1005.6877148817875,-2362.2890338079596
1020.2497939724175,-2884.437651193597
